CustomerID|TreatmentCode|OutputID|HospitalID|AccountNumber|MRN|PatientName|PatientMiddleName|PatientFirstName|PatientAddress1|PatientAddress2|PatientCity|PatientState|PatientZipFirst5|patientZipCode|PatientSSN|PatientGender|PatientDOB|GuarantorName|GuarantorMiddleName|GuarantorFirstName|GuarantorAddress1|GuarantorAddress2|GuarantorCity|GuarantorState|GuarantorZipFirst5|GuarantorZipCode|GuarantorSSN|GuarantorGender|GuarantorDOB|GuarantorEmployer|HospitalState|AdmitDate|DischargeDate|PatientProcessType|PatientType|FinancialClass|PrimaryPayerPlan|SecondaryPayerPlan|PrimaryCPTCode|DRGCode|PrimaryDiagnosticCode|SecondaryDiagnosticCode|GrossCharges|Balance|AccountStatus|ClientField1|ClientField2|ClientField3|ClientField4|HospitalState2|HospitalCity|HospitalCounty|HospitalZip
|1|1|2784|6143441|373724|CARSWELL JARVIS|||GENERAL DELIVERY||ELKO|NV|89801|89801|028-91-2579|M|19830122|CARSWELL JARVIS|||GENERAL DELIVERY||ELKO|NV|89801|89801|||19830122|UNEMPLOYED|NV|20160717|20160717|E|E|99|SELF PAY|SELF PAY|||||267.00|267.00|CA|SELF PAY||||NV|ELKO||89801
|1|1|5326|181412|149367|DAWLEY BARBARA A|||1042 WATERLOO RD||WESTPOINT|TN|38486|38486|145-71-1161|F|19631014|DAWLEY BARBARA A|||1042 WATERLOO RD||WESTPOINT|TN|38486|38486|||19631014|UNEMPLOYED|TN|20160726|20160726|E|E|99|SELF PAY|SELF PAY INSURANCE|||||1134.25|399.25|CA|SELF PAY INSURANCE||||TN|LAWRENCEBURG||38464
|1|1|5285|2801360447|372187|BROWN MICHAEL DAVID|||4900 WHITMELL SCHOOL RD|BOX 9|DRY FORK|VA|24549|24549|442-81-8288|M|19670317|BROWN MICHAEL DAVID|||4900 WHITMELL SCHOOL RD|BOX 9|DRY FORK|VA|24549|24549|||19670317|NOT EMPLOYED|VA|20140224|20140224|E|E|99|SELF PAY|SELF PAY|||||780.00|780.00|CA|SELF PAY||||VA|DANVILLE||24541
|1|1|5285|2805044317|518104|BRUMFIELD KRISTY GAYLE|||1257 BERRYHILL RD||DANVILLE|VA|24541|24541|195-61-4345|F|19780906|BRUMFIELD KRISTY GAYLE|||1257 BERRYHILL RD||DANVILLE|VA|24541|24541|||19780906|NOT EMPLOYED|VA|20160909|20160909|E|E|99|SELF PAY|SELF PAY|||||695.00|695.00|CA|SELF PAY||||VA|DANVILLE||24541
|1|1|5285|2804507791|531400|CARTER CLARA MAE|||108 HEREFORD LN||DANVILLE|VA|24541|24541|528-70-5453|F|19650529|CARTER CLARA MAE|||108 HEREFORD LN||DANVILLE|VA|24541|24541|||19650529|NOT EMPLOYED|VA|20160424|20160424|E|E|99|SELF PAY|SELF PAY|||||1356.05|1356.05|CA|SELF PAY||||VA|DANVILLE||24541
|1|1|5356|7265713|250535|PHILLIPS ANGELA L|||13865 HOG FOOT RD||ANDALUSIA|AL|36421|36421|606-57-6702|F|19821217|PHILLIPS ANGELA L|||13865 HOG FOOT RD||ANDALUSIA|AL|36421|36421|||19821217|GITTY UP  \T\ GO|AL|20160607|20160608|E|E|99|SELF PAY|SELF PAY|||||218.00|218.00|CA|SELF PAY||||AL|ANDALUSIA||36420
|1|1|5424|2132281|48424|GOODING AARON C|||788 N 1500 E||VERNAL|UT|84078|84078|193-69-3128|M|19691001|GOODING AARON C|||788 N 1500 E||VERNAL|UT|84078|84078|||19691001||UT|20160619|20160619|E|E|99|SELF PAY|SELF PAY|||||1248.10|1248.10|CA|SELF PAY||||UT|VERNAL||84078
|1|1|16150|16150719322|36863|LOWE MELINDA SUE|||101 PRATER DR||RICHLANDS|VA|24641|24641|820-54-3531|F|19800206|LOWE MELINDA SUE|||PO BOX 722||RICHLANDS|VA|24641|24641|||19800206|HUMMINGBIRD RETIREMENT V|VA|20160601|20160601|E|EV|99|UNINSURED|DO NOT USE|||||6090.74|6090.74|CA|DO NOT USE||||VA|RICHLANDS||24641
|1|1|5359|53590095857|115846|LOPEZ MARIA I|||806 9TH AVE||DODGE CITY|KS|67801|67801|539-08-8842|F|19700915|LOPEZ MARIA I|||806 9TH AVE||DODGE CITY|KS|67801|67801|||19700915|UNEMPLOYED|KS|20160707|20160707|E|E|99|SELF PAY|SELF PAY|||||1264.04|1264.04|CA|SELF PAY||||KS|DODGE CITY||67801
|1|1|2801|1351621|163449|STANLEY JOHN H|||306 FRANKLIN ST||MORGAN CITY|LA|70380|70380|254-86-2666|M|19530926|STANLEY JOHN H|||306 FRANKLIN ST||MORGAN CITY|LA|70380|70380|||19530926|DISABLED|LA|20160405|20160405|E|E|99|SELF PAY   UNINSURED|SELF PAY|||||394.00|394.00|CA|SELF PAY||||LA|MORGAN CITY||70380
